season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1976,Gold,USA,United States,Darrell Owen PACE,1976 Montreal,Archery,Men's,individual FITA round
Summer,1976,Silver,JPN,Japan,Hiroshi MICHINAGA,1976 Montreal,Archery,Men's,individual FITA round
Summer,1976,Bronze,ITA,Italy,Giancarlo FERRARI,1976 Montreal,Archery,Men's,individual FITA round
Summer,1976,Gold,USA,United States,Luann Marie RYON,1976 Montreal,Archery,Women's,individual FITA round
Summer,1976,Silver,URS,USSR,Valentina KOVPAN,1976 Montreal,Archery,Women's,individual FITA round
Summer,1976,Bronze,URS,USSR,Zebiniso RUSTAMOVA,1976 Montreal,Archery,Women's,individual FITA round
Summer,1976,Gold,TTO,Trinidad and Tobago,Hasely CRAWFORD,1976 Montreal,Athletics,Men's,100m
Summer,1976,Silver,JAM,Jamaica,Donald QUARRIE,1976 Montreal,Athletics,Men's,100m
Summer,1976,Bronze,URS,USSR,Valery BORZOV,1976 Montreal,Athletics,Men's,100m
Summer,1976,Gold,JAM,Jamaica,Donald QUARRIE,1976 Montreal,Athletics,Men's,200m
Summer,1976,Silver,USA,United States,Millard Frank Jr. HAMPTON,1976 Montreal,Athletics,Men's,200m
Summer,1976,Bronze,USA,United States,Dwayne Eugene EVANS,1976 Montreal,Athletics,Men's,200m
Summer,1976,Gold,CUB,Cuba,Alberto JUANTORENA,1976 Montreal,Athletics,Men's,400m
Summer,1976,Silver,USA,United States,Frederick Vaughn NEWHOUSE,1976 Montreal,Athletics,Men's,400m
Summer,1976,Bronze,USA,United States,Herman Ronald FRAZIER,1976 Montreal,Athletics,Men's,400m
Summer,1976,Gold,CUB,Cuba,Alberto JUANTORENA,1976 Montreal,Athletics,Men's,800m
Summer,1976,Silver,BEL,Belgium,Ivo VAN DAMME,1976 Montreal,Athletics,Men's,800m
Summer,1976,Bronze,USA,United States,Richard Charles WOHLHUTER,1976 Montreal,Athletics,Men's,800m
Summer,1976,Gold,NZL,New Zealand,John WALKER,1976 Montreal,Athletics,Men's,1500m
Summer,1976,Silver,BEL,Belgium,Ivo VAN DAMME,1976 Montreal,Athletics,Men's,1500m
Summer,1976,Bronze,FRG,Federal Republic of Germany,Paul-Heinz WELLMANN,1976 Montreal,Athletics,Men's,1500m
Summer,1976,Gold,FIN,Finland,Lasse VIREN,1976 Montreal,Athletics,Men's,5000m
Summer,1976,Silver,NZL,New Zealand,Dick Theodorus QUAX,1976 Montreal,Athletics,Men's,5000m
Summer,1976,Bronze,FRG,Federal Republic of Germany,Klaus-Peter HILDENBRAND,1976 Montreal,Athletics,Men's,5000m
Summer,1976,Gold,FIN,Finland,Lasse VIREN,1976 Montreal,Athletics,Men's,10000m
Summer,1976,Silver,POR,Portugal,Carlos LOPES,1976 Montreal,Athletics,Men's,10000m
Summer,1976,Bronze,GBR,Great Britain,Brendan FOSTER,1976 Montreal,Athletics,Men's,10000m
Summer,1976,Gold,GDR,German Democratic Republic,Waldemar CIERPINSKI,1976 Montreal,Athletics,Men's,marathon
Summer,1976,Silver,USA,United States,Frank Charles SHORTER,1976 Montreal,Athletics,Men's,marathon
Summer,1976,Bronze,BEL,Belgium,Karel LISMONT,1976 Montreal,Athletics,Men's,marathon
Summer,1976,Gold,FRA,France,Guy DRUT,1976 Montreal,Athletics,Men's,110m hurdles
Summer,1976,Silver,CUB,Cuba,Alejandro CASAÑAS,1976 Montreal,Athletics,Men's,110m hurdles
Summer,1976,Bronze,USA,United States,Willie DAVENPORT,1976 Montreal,Athletics,Men's,110m hurdles
Summer,1976,Gold,USA,United States,Edwin MOSES,1976 Montreal,Athletics,Men's,400m hurdles
Summer,1976,Silver,USA,United States,Michael Lyle SHINE,1976 Montreal,Athletics,Men's,400m hurdles
Summer,1976,Bronze,URS,USSR,Yevgeni GAVRILENKO,1976 Montreal,Athletics,Men's,400m hurdles
Summer,1976,Gold,SWE,Sweden,Anders GARDERUD,1976 Montreal,Athletics,Men's,3000m steeplechase
Summer,1976,Silver,POL,Poland,Bronislaw MALINOWSKI,1976 Montreal,Athletics,Men's,3000m steeplechase
Summer,1976,Bronze,GDR,German Democratic Republic,Frank BAUMGARTL,1976 Montreal,Athletics,Men's,3000m steeplechase
Summer,1976,Gold,USA,United States,"Millard Frank Jr. HAMPTON, Harvey Edward GLANCE, John Wesley JONES, Steven Earl RIDDICK",1976 Montreal,Athletics,Men's,4x100m relay
Summer,1976,Silver,GDR,German Democratic Republic,"Alexander THIEME, Klaus-Dieter KURRAT, Jörg PFEIFER, Manfred KOKOT",1976 Montreal,Athletics,Men's,4x100m relay
Summer,1976,Bronze,URS,USSR,"Yuris SILOVS, Aleksandr AKSININ, Nikolai KOLESNIKOV, Valery BORZOV",1976 Montreal,Athletics,Men's,4x100m relay
Summer,1976,Gold,USA,United States,"Herman Ronald FRAZIER, Frederick Vaughn NEWHOUSE, Benjamin Gene BROWN, Maxwell Lander PARKS",1976 Montreal,Athletics,Men's,4x400m relay
Summer,1976,Silver,POL,Poland,"Jerzy PIETRZYK, Jan WERNER, Ryszard PODLAS, Zbigniew JAREMSKI",1976 Montreal,Athletics,Men's,4x400m relay
Summer,1976,Bronze,FRG,Federal Republic of Germany,"Lothar KRIEG, Harald SCHMID, Franz-Peter HOFMEISTER, Bernd HERRMANN",1976 Montreal,Athletics,Men's,4x400m relay
Summer,1976,Gold,MEX,Mexico,Daniel BAUTISTA ROCHA,1976 Montreal,Athletics,Men's,20km walk
Summer,1976,Silver,GDR,German Democratic Republic,Hans REIMANN,1976 Montreal,Athletics,Men's,20km walk
Summer,1976,Bronze,GDR,German Democratic Republic,Peter FRENKEL,1976 Montreal,Athletics,Men's,20km walk
Summer,1976,Gold,USA,United States,Arnie ROBINSON,1976 Montreal,Athletics,Men's,long jump
Summer,1976,Silver,USA,United States,Randel Luvelle WILLIAMS,1976 Montreal,Athletics,Men's,long jump
Summer,1976,Bronze,GDR,German Democratic Republic,Frank WARTENBERG,1976 Montreal,Athletics,Men's,long jump
Summer,1976,Gold,URS,USSR,Viktor SANEYEV,1976 Montreal,Athletics,Men's,triple jump
Summer,1976,Silver,USA,United States,James BUTTS,1976 Montreal,Athletics,Men's,triple jump
Summer,1976,Bronze,BRA,Brazil,João Carlos DE OLIVEIRA,1976 Montreal,Athletics,Men's,triple jump
Summer,1976,Gold,POL,Poland,Jacek WSZOLA,1976 Montreal,Athletics,Men's,high jump
Summer,1976,Silver,CAN,Canada,Greg JOY,1976 Montreal,Athletics,Men's,high jump
Summer,1976,Bronze,USA,United States,Dwight STONES,1976 Montreal,Athletics,Men's,high jump
Summer,1976,Gold,POL,Poland,Tadeusz SLUSARSKI,1976 Montreal,Athletics,Men's,pole vault
Summer,1976,Silver,FIN,Finland,Antti KALLIOMÄKI,1976 Montreal,Athletics,Men's,pole vault
Summer,1976,Bronze,USA,United States,David Luther ROBERTS,1976 Montreal,Athletics,Men's,pole vault
Summer,1976,Gold,GDR,German Democratic Republic,Udo BEYER,1976 Montreal,Athletics,Men's,shot put
Summer,1976,Silver,URS,USSR,Yevgeni MIRONOV,1976 Montreal,Athletics,Men's,shot put
Summer,1976,Bronze,URS,USSR,Aleksandr BARYSHNIKOV,1976 Montreal,Athletics,Men's,shot put
Summer,1976,Gold,USA,United States,Mac WILKINS,1976 Montreal,Athletics,Men's,discus throw
Summer,1976,Silver,GDR,German Democratic Republic,Wolfgang SCHMIDT,1976 Montreal,Athletics,Men's,discus throw
Summer,1976,Bronze,USA,United States,John POWELL,1976 Montreal,Athletics,Men's,discus throw
Summer,1976,Gold,URS,USSR,Yuri SEDYKH,1976 Montreal,Athletics,Men's,hammer throw
Summer,1976,Silver,URS,USSR,Aleksei SPIRIDONOV,1976 Montreal,Athletics,Men's,hammer throw
Summer,1976,Bronze,URS,USSR,Anatoli BONDARCHUK,1976 Montreal,Athletics,Men's,hammer throw
Summer,1976,Gold,HUN,Hungary,Miklos NEMETH,1976 Montreal,Athletics,Men's,javelin throw
Summer,1976,Silver,FIN,Finland,Hannu Juhani SIITONEN,1976 Montreal,Athletics,Men's,javelin throw
Summer,1976,Bronze,ROU,Romania,Gheorghe MEGELEA,1976 Montreal,Athletics,Men's,javelin throw
Summer,1976,Gold,USA,United States,Bruce JENNER,1976 Montreal,Athletics,Men's,decathlon
Summer,1976,Silver,FRG,Federal Republic of Germany,Guido KRATSCHMER,1976 Montreal,Athletics,Men's,decathlon
Summer,1976,Bronze,URS,USSR,Nikolay AVILOV,1976 Montreal,Athletics,Men's,decathlon
Summer,1976,Gold,FRG,Federal Republic of Germany,Annegret RICHTER-IRRGANG,1976 Montreal,Athletics,Women's,100m
Summer,1976,Silver,GDR,German Democratic Republic,Renate STECHER,1976 Montreal,Athletics,Women's,100m
Summer,1976,Bronze,FRG,Federal Republic of Germany,Inge HELTEN,1976 Montreal,Athletics,Women's,100m
Summer,1976,Gold,GDR,German Democratic Republic,Bärbel ECKERT-WÖCKEL,1976 Montreal,Athletics,Women's,200m
Summer,1976,Silver,FRG,Federal Republic of Germany,Annegret RICHTER-IRRGANG,1976 Montreal,Athletics,Women's,200m
Summer,1976,Bronze,GDR,German Democratic Republic,Renate STECHER,1976 Montreal,Athletics,Women's,200m
Summer,1976,Gold,POL,Poland,Irena KIRSZENSTEIN,1976 Montreal,Athletics,Women's,400m
Summer,1976,Silver,GDR,German Democratic Republic,Christina BREHMER-LATHAN,1976 Montreal,Athletics,Women's,400m
Summer,1976,Bronze,GDR,German Democratic Republic,Ellen STROPAHL-STREIDT,1976 Montreal,Athletics,Women's,400m
Summer,1976,Gold,URS,USSR,Tatiana KAZANKINA,1976 Montreal,Athletics,Women's,800m
Summer,1976,Silver,BUL,Bulgaria,Nikolina CHTEREVA,1976 Montreal,Athletics,Women's,800m
Summer,1976,Bronze,GDR,German Democratic Republic,Elfi ZINN,1976 Montreal,Athletics,Women's,800m
Summer,1976,Gold,URS,USSR,Tatiana KAZANKINA,1976 Montreal,Athletics,Women's,1500m
Summer,1976,Silver,GDR,German Democratic Republic,Gunhild HOFFMEISTER,1976 Montreal,Athletics,Women's,1500m
Summer,1976,Bronze,GDR,German Democratic Republic,Ulrike KLAPEZYNSKI-BRUNS,1976 Montreal,Athletics,Women's,1500m
Summer,1976,Gold,GDR,German Democratic Republic,Johanna SCHALLER-KLIER,1976 Montreal,Athletics,Women's,100m hurdles
Summer,1976,Silver,URS,USSR,Tatiana ANISIMOVA,1976 Montreal,Athletics,Women's,100m hurdles
Summer,1976,Bronze,URS,USSR,Natalya LEBEDEVA,1976 Montreal,Athletics,Women's,100m hurdles
Summer,1976,Gold,GDR,German Democratic Republic,"Bärbel ECKERT-WÖCKEL, Renate STECHER, Carla BODENDORF, Marlies OELSNER-GÖHR",1976 Montreal,Athletics,Women's,4x100m relay
Summer,1976,Silver,FRG,Federal Republic of Germany,"Elvira POSSEKEL, Inge HELTEN, Annegret KRONIGER, Annegret RICHTER-IRRGANG",1976 Montreal,Athletics,Women's,4x100m relay
Summer,1976,Bronze,URS,USSR,"Lyudmila ZHARKOVA, Nadezhda BESFAMILNAYA, Vera ANISIMOVA, Tatiana PROROCHENKO",1976 Montreal,Athletics,Women's,4x100m relay
Summer,1976,Gold,GDR,German Democratic Republic,"Ellen STROPAHL-STREIDT, Doris MALETZKI, Brigitte ROHDE, Christina BREHMER-LATHAN",1976 Montreal,Athletics,Women's,4x400m relay
Summer,1976,Silver,USA,United States,"Rosalyn Evette BRYANT, Pamela GREENE-JILES, Sheila Rena INGRAM, Deborah Elaine SAPENTER",1976 Montreal,Athletics,Women's,4x400m relay
Summer,1976,Bronze,URS,USSR,"Natalya CHISTYAKOVA-SOKOLOVA, Inta KLIMOVOCHA, Nadeshda ILYINA, Lyudmila AKSENOVA",1976 Montreal,Athletics,Women's,4x400m relay
Summer,1976,Gold,GDR,German Democratic Republic,Angela VOIGT,1976 Montreal,Athletics,Women's,long jump
Summer,1976,Silver,USA,United States,Catherine Laverne MCMILLAN,1976 Montreal,Athletics,Women's,long jump
Summer,1976,Bronze,URS,USSR,Lidia ALFEEVA,1976 Montreal,Athletics,Women's,long jump
Summer,1976,Gold,GDR,German Democratic Republic,Rosemarie WITSCHAS-ACKERMANN,1976 Montreal,Athletics,Women's,high jump
Summer,1976,Silver,ITA,Italy,Sara SIMEONI,1976 Montreal,Athletics,Women's,high jump
Summer,1976,Bronze,BUL,Bulgaria,Yordanka BLAGOEVA-DIMITROVA,1976 Montreal,Athletics,Women's,high jump
Summer,1976,Gold,BUL,Bulgaria,Ivanka KHRISTOVA,1976 Montreal,Athletics,Women's,shot put
Summer,1976,Silver,URS,USSR,Nadezhda CHIZHOVA,1976 Montreal,Athletics,Women's,shot put
Summer,1976,Bronze,TCH,Czechoslovakia,Helena FIBINGEROVÁ,1976 Montreal,Athletics,Women's,shot put
Summer,1976,Gold,GDR,German Democratic Republic,Evelin SCHLAAK-JAHL,1976 Montreal,Athletics,Women's,discus throw
Summer,1976,Silver,BUL,Bulgaria,Maria VERGOVA-PETKOVA,1976 Montreal,Athletics,Women's,discus throw
Summer,1976,Bronze,GDR,German Democratic Republic,Gabriele HINZMANN,1976 Montreal,Athletics,Women's,discus throw
Summer,1976,Gold,GDR,German Democratic Republic,Ruth FUCHS,1976 Montreal,Athletics,Women's,javelin throw
Summer,1976,Silver,FRG,Federal Republic of Germany,Marion BECKER-STEINER,1976 Montreal,Athletics,Women's,javelin throw
Summer,1976,Bronze,USA,United States,Kathryn Joan SCHMIDT,1976 Montreal,Athletics,Women's,javelin throw
Summer,1976,Gold,GDR,German Democratic Republic,Siegrun SIEGL,1976 Montreal,Athletics,Women's,pentathlon
Summer,1976,Silver,GDR,German Democratic Republic,Christine LASER,1976 Montreal,Athletics,Women's,pentathlon
Summer,1976,Bronze,GDR,German Democratic Republic,Burglinde POLLAK,1976 Montreal,Athletics,Women's,pentathlon
Summer,1976,Gold,USA,United States,"Michael ARMSTRONG, Quinn BUCKNER, Mitchell KUPCHAK, Steven SHEPPARD, Scott MAY, Tom LAGARDE, Walter DAVIS, Phil FORD, Kenneth CARR, Ernie GRUNFELD, Phillip HUBBARD, Adrian DANTLEY",1976 Montreal,Basketball,Men's,basketball
Summer,1976,Silver,YUG,Yugoslavia,"Mirza DELIBASIC, Dragan KICANOVIC, Damir ?OLMAN, Zoran SLAVNIC, Rajko ZIZIC, Andro KNEGO, ?eljko JERKOV, Kresimir COSIC, Drazen DALIPAGIC, Vinko JELOVAC, Zarko VARAJIC, Blagoje GEORGIJEVSKI",1976 Montreal,Basketball,Men's,basketball
Summer,1976,Bronze,URS,USSR,"Andrey MAKEYEV, Vladimir TKACHENKO, Sergey BELOV, Aleksandr BELOV, Mikhail KORKIYA, Alzhan ZHARMUKHAMEDOV, Vladimir ZHIGILY, Valery MILOSERDOV, Anatoly MYSHKIN, Ivan YEDESHKO, Aleksandr SALNIKOV, Vladimir ARZAMASKOV",1976 Montreal,Basketball,Men's,basketball
Summer,1976,Gold,URS,USSR,"Natalya KLIMOVA, Nadezhda OLKHOVA-SHUVAYEVA, Nelli FERYABNIKOVA, Tatyana NADYROVA-ZAKHAROVA, Angelia RUPSHENE, Tatyana OVECHKINA, Uljana SEMJONOVA, Nadezhda ZAKHAROVA, Olga SUKHARNOVA, Olga KOROSTELYOVA-BARYSHEVA, Tamara DAUNIENE, Raisa KURVYAKOVA",1976 Montreal,Basketball,Women's,basketball
Summer,1976,Silver,USA,United States,"Cindy BROGDON, Lusia Mae HARRIS, Juliene SIMPSON, Nancy DUNKLE, Gail MARQUIS, Nancy LIEBERMAN, Patricia ROBERTS, Patricia HEAD, Mary Anne O'CONNOR, Ann MEYERS, Susan ROJCEWICZ, Charlotte LEWIS",1976 Montreal,Basketball,Women's,basketball
Summer,1976,Bronze,BUL,Bulgaria,"Snezhana MIKHAILOVA, Penka METODIEVA, Maria STOYANOVA, Krasimira BOGDANOVA, Nadka GOLCHEVA, Girgina SKERLATOVA, Diana DILOVA, Petkana MAKAVEEVA, Krassimira GIUROVA, Todorka YORDANOVA, Penka STOYANOVA, Margarita SHTARKELOVA",1976 Montreal,Basketball,Women's,basketball
Summer,1976,Gold,CUB,Cuba,Jorge HERNANDEZ PADRON,1976 Montreal,Boxing,Men's,- 48kg (light-flyweight)
Summer,1976,Silver,PRK,Korea DPR,Byong-Uk LI,1976 Montreal,Boxing,Men's,- 48kg (light-flyweight)
Summer,1976,Bronze,PUR,Puerto Rico,Orlando MALDONADO,1976 Montreal,Boxing,Men's,- 48kg (light-flyweight)
Summer,1976,Bronze,THA,Thailand,Payao POOLTARAT,1976 Montreal,Boxing,Men's,- 48kg (light-flyweight)
Summer,1976,Gold,USA,United States,Leo RANDOLPH,1976 Montreal,Boxing,Men's,48 - 51kg (flyweight)
Summer,1976,Silver,CUB,Cuba,Ramon DUVALON CARRION,1976 Montreal,Boxing,Men's,48 - 51kg (flyweight)
Summer,1976,Bronze,POL,Poland,Leszek BLAZYNSKI,1976 Montreal,Boxing,Men's,48 - 51kg (flyweight)
Summer,1976,Bronze,URS,USSR,David TOROSYAN,1976 Montreal,Boxing,Men's,48 - 51kg (flyweight)
Summer,1976,Gold,PRK,Korea DPR,Yong-Jo GU,1976 Montreal,Boxing,Men's,51 - 54kg (bantamweight)
Summer,1976,Silver,USA,United States,Charles MOONEY,1976 Montreal,Boxing,Men's,51 - 54kg (bantamweight)
Summer,1976,Bronze,GBR,Great Britain,Patrick COWDELL,1976 Montreal,Boxing,Men's,51 - 54kg (bantamweight)
Summer,1976,Bronze,URS,USSR,Viktor RYBAKOV,1976 Montreal,Boxing,Men's,51 - 54kg (bantamweight)
Summer,1976,Gold,CUB,Cuba,Angel HERRERA VERA,1976 Montreal,Boxing,Men's,54 - 57kg (featherweight)
Summer,1976,Silver,GDR,German Democratic Republic,Richard NOWAKOWSKI,1976 Montreal,Boxing,Men's,54 - 57kg (featherweight)
Summer,1976,Bronze,MEX,Mexico,Juan PAREDES,1976 Montreal,Boxing,Men's,54 - 57kg (featherweight)
Summer,1976,Bronze,POL,Poland,Leszek KOSEDOWSKI,1976 Montreal,Boxing,Men's,54 - 57kg (featherweight)
Summer,1976,Gold,USA,United States,"Howard Edward, Jr. DAVIS",1976 Montreal,Boxing,Men's,57 - 60kg (lightweight)
Summer,1976,Silver,ROU,Romania,Simion CUTOV,1976 Montreal,Boxing,Men's,57 - 60kg (lightweight)
Summer,1976,Bronze,URS,USSR,Vasili SOLOMIN,1976 Montreal,Boxing,Men's,57 - 60kg (lightweight)
Summer,1976,Bronze,YUG,Yugoslavia,Ace RUSEVSKI,1976 Montreal,Boxing,Men's,57 - 60kg (lightweight)
Summer,1976,Gold,USA,United States,Ray Charles LEONARD,1976 Montreal,Boxing,Men's,60 - 63.5kg (light-welterweight)
Summer,1976,Silver,CUB,Cuba,Andres ALDAMA CABRERA,1976 Montreal,Boxing,Men's,60 - 63.5kg (light-welterweight)
Summer,1976,Bronze,BUL,Bulgaria,Vladimir KOLEV,1976 Montreal,Boxing,Men's,60 - 63.5kg (light-welterweight)
Summer,1976,Bronze,POL,Poland,Kazimierz SZCZERBA,1976 Montreal,Boxing,Men's,60 - 63.5kg (light-welterweight)
Summer,1976,Gold,GDR,German Democratic Republic,Jochen BACHFELD,1976 Montreal,Boxing,Men's,63.5 - 67kg (welterweight)
Summer,1976,Silver,VEN,Venezuela,Pedro José GAMARRO,1976 Montreal,Boxing,Men's,63.5 - 67kg (welterweight)
Summer,1976,Bronze,FRG,Federal Republic of Germany,Reinhard SKRICEK,1976 Montreal,Boxing,Men's,63.5 - 67kg (welterweight)
Summer,1976,Bronze,ROU,Romania,Victor ZILBERMAN,1976 Montreal,Boxing,Men's,63.5 - 67kg (welterweight)
Summer,1976,Gold,POL,Poland,Jerzy RYBICKI,1976 Montreal,Boxing,Men's,67 - 71kg (light-middleweight)
Summer,1976,Silver,YUG,Yugoslavia,Tadija KACAR,1976 Montreal,Boxing,Men's,67 - 71kg (light-middleweight)
Summer,1976,Bronze,CUB,Cuba,Rolando GARBEY,1976 Montreal,Boxing,Men's,67 - 71kg (light-middleweight)
Summer,1976,Bronze,URS,USSR,Viktor SAVCHENKO,1976 Montreal,Boxing,Men's,67 - 71kg (light-middleweight)
Summer,1976,Gold,USA,United States,Michael SPINKS,1976 Montreal,Boxing,Men's,71 - 75kg (middleweight)
Summer,1976,Silver,URS,USSR,Rufat RISKIYEV,1976 Montreal,Boxing,Men's,71 - 75kg (middleweight)
Summer,1976,Bronze,CUB,Cuba,Luis Felipe MARTINEZ SANCHEZ,1976 Montreal,Boxing,Men's,71 - 75kg (middleweight)
Summer,1976,Bronze,ROU,Romania,Alec NASTAC,1976 Montreal,Boxing,Men's,71 - 75kg (middleweight)
Summer,1976,Gold,USA,United States,"Leonard, Jr. SPINKS",1976 Montreal,Boxing,Men's,75 - 81kg (light-heavyweight)
Summer,1976,Silver,CUB,Cuba,Sixto SORIA CABRERA,1976 Montreal,Boxing,Men's,75 - 81kg (light-heavyweight)
Summer,1976,Bronze,POL,Poland,Janusz GORTAT,1976 Montreal,Boxing,Men's,75 - 81kg (light-heavyweight)
Summer,1976,Bronze,ROU,Romania,Costica DAFINOIU,1976 Montreal,Boxing,Men's,75 - 81kg (light-heavyweight)
Summer,1976,Gold,CUB,Cuba,Teófilo STEVENSON,1976 Montreal,Boxing,Men's,+ 81kg (heavyweight)
Summer,1976,Silver,ROU,Romania,Mircea SIMON,1976 Montreal,Boxing,Men's,+ 81kg (heavyweight)
Summer,1976,Bronze,BER,Bermuda,Clarence HILL,1976 Montreal,Boxing,Men's,+ 81kg (heavyweight)
Summer,1976,Bronze,USA,United States,Johnny TATE,1976 Montreal,Boxing,Men's,+ 81kg (heavyweight)
Summer,1976,Gold,ROU,Romania,Vasile DIBA,1976 Montreal,Canoe Sprint,Men's,K-1 500m (kayak single)
Summer,1976,Silver,HUN,Hungary,Zoltán SZTANITY,1976 Montreal,Canoe Sprint,Men's,K-1 500m (kayak single)
Summer,1976,Bronze,GDR,German Democratic Republic,Rüdiger HELM,1976 Montreal,Canoe Sprint,Men's,K-1 500m (kayak single)
Summer,1976,Gold,GDR,German Democratic Republic,Rüdiger HELM,1976 Montreal,Canoe Sprint,Men's,K-1 1000m (kayak single)
Summer,1976,Silver,HUN,Hungary,Géza CSAPÓ,1976 Montreal,Canoe Sprint,Men's,K-1 1000m (kayak single)
Summer,1976,Bronze,ROU,Romania,Vasile DIBA,1976 Montreal,Canoe Sprint,Men's,K-1 1000m (kayak single)
Summer,1976,Gold,GDR,German Democratic Republic,"Joachim MATTERN, Bernd OLBRICHT",1976 Montreal,Canoe Sprint,Men's,K-2 500m (kayak double)
Summer,1976,Silver,URS,USSR,"Sergei NAGORNYI, Vladimir ROMANOVSKY",1976 Montreal,Canoe Sprint,Men's,K-2 500m (kayak double)
Summer,1976,Bronze,ROU,Romania,"Larion SERGHEI, Policarp MALIHIN",1976 Montreal,Canoe Sprint,Men's,K-2 500m (kayak double)
Summer,1976,Gold,URS,USSR,"Sergei NAGORNYI, Vladimir ROMANOVSKY",1976 Montreal,Canoe Sprint,Men's,K-2 1000m (kayak double)
Summer,1976,Silver,GDR,German Democratic Republic,"Bernd OLBRICHT, Joachim MATTERN",1976 Montreal,Canoe Sprint,Men's,K-2 1000m (kayak double)
Summer,1976,Bronze,HUN,Hungary,"István SZABÓ, Zoltán BAKÓ",1976 Montreal,Canoe Sprint,Men's,K-2 1000m (kayak double)
Summer,1976,Gold,URS,USSR,"Vladimir MOROZOV, Aleksandr DEGTYAREV, Sergei CHUKHRAI, Yury FILATOV",1976 Montreal,Canoe Sprint,Men's,K-4 1000m (kayak four)
Summer,1976,Silver,ESP,Spain,"Jose Ramon LOPEZ DIAZ FLOR, Herminio MENENDEZ RODRIGUEZ, Jose Maria ESTEBAN CELLORIO, Luis Gregorio RAMOS MISIONE",1976 Montreal,Canoe Sprint,Men's,K-4 1000m (kayak four)
Summer,1976,Bronze,GDR,German Democratic Republic,"Rüdiger HELM, Frank-Peter BISCHOF, Jürgen LEHNERT, Bernd DUVIGNEAU",1976 Montreal,Canoe Sprint,Men's,K-4 1000m (kayak four)
Summer,1976,Gold,URS,USSR,Aleksandr ROGOV,1976 Montreal,Canoe Sprint,Men's,C-1 500m (canoe single)
Summer,1976,Silver,CAN,Canada,John WOOD,1976 Montreal,Canoe Sprint,Men's,C-1 500m (canoe single)
Summer,1976,Bronze,YUG,Yugoslavia,Matija LJUBEK,1976 Montreal,Canoe Sprint,Men's,C-1 500m (canoe single)
Summer,1976,Gold,YUG,Yugoslavia,Matija LJUBEK,1976 Montreal,Canoe Sprint,Men's,C-1 1000m (canoe single)
Summer,1976,Silver,URS,USSR,Vasili YURCHENKO,1976 Montreal,Canoe Sprint,Men's,C-1 1000m (canoe single)
Summer,1976,Bronze,HUN,Hungary,Tamás WICHMANN,1976 Montreal,Canoe Sprint,Men's,C-1 1000m (canoe single)
Summer,1976,Gold,URS,USSR,"Aleksandr VINOGRADOV, Sergey PETRENKO",1976 Montreal,Canoe Sprint,Men's,C-2 500m (canoe double)
Summer,1976,Silver,POL,Poland,"Andrzej GRONOWICZ, Jerzy OPARA",1976 Montreal,Canoe Sprint,Men's,C-2 500m (canoe double)
Summer,1976,Bronze,HUN,Hungary,"Tamás BUDAY, Oszkár FREY",1976 Montreal,Canoe Sprint,Men's,C-2 500m (canoe double)
Summer,1976,Gold,URS,USSR,"Aleksandr VINOGRADOV, Sergey PETRENKO",1976 Montreal,Canoe Sprint,Men's,C-2 1000m (canoe double)
Summer,1976,Silver,ROU,Romania,"Gheorghe DANIELOV, Gheorghe SIMIONOV",1976 Montreal,Canoe Sprint,Men's,C-2 1000m (canoe double)
Summer,1976,Bronze,HUN,Hungary,"Tamás BUDAY, Oszkár FREY",1976 Montreal,Canoe Sprint,Men's,C-2 1000m (canoe double)
Summer,1976,Gold,GDR,German Democratic Republic,Carola ZIRZOW,1976 Montreal,Canoe Sprint,Women's,K-1 500m (kayak single)
Summer,1976,Silver,URS,USSR,Tatyana KORSHUNOVA,1976 Montreal,Canoe Sprint,Women's,K-1 500m (kayak single)
Summer,1976,Bronze,HUN,Hungary,Klára RAJNAI,1976 Montreal,Canoe Sprint,Women's,K-1 500m (kayak single)
Summer,1976,Gold,URS,USSR,"Galina KREFT, Nina GOPOVA",1976 Montreal,Canoe Sprint,Women's,K-2 500m (kayak double)
Summer,1976,Silver,HUN,Hungary,"Anna PFEFFER, Klára RAJNAI",1976 Montreal,Canoe Sprint,Women's,K-2 500m (kayak double)
Summer,1976,Bronze,GDR,German Democratic Republic,"Bärbel KÖSTER, Carola ZIRZOW",1976 Montreal,Canoe Sprint,Women's,K-2 500m (kayak double)
Summer,1976,Gold,SWE,Sweden,Bernt JOHANSSON,1976 Montreal,Cycling Road,Men's,individual road race
Summer,1976,Silver,ITA,Italy,Giuseppe MARTINELLI,1976 Montreal,Cycling Road,Men's,individual road race
Summer,1976,Bronze,POL,Poland,Mieczyslaw NOWICKI,1976 Montreal,Cycling Road,Men's,individual road race
Summer,1976,Gold,URS,USSR,"Vladimir KAMINSKY, Anatoli CHUKANOV, Aavo PIKKUUS, Valeri CHAPLYGIN",1976 Montreal,Cycling Road,Men's,team time trial
Summer,1976,Silver,POL,Poland,"Stanislaw SZOZDA, Ryszard SZURKOWSKI, Tadeusz MYTNIK, Mieczyslaw NOWICKI",1976 Montreal,Cycling Road,Men's,team time trial
Summer,1976,Bronze,DEN,Denmark,"Jørn LUND, Gert FRANK, Jorgen Emil HANSEN, Verner BLAUDZUN",1976 Montreal,Cycling Road,Men's,team time trial
Summer,1976,Gold,TCH,Czechoslovakia,Anton TKÁC,1976 Montreal,Cycling Track,Men's,sprint individual
