season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1952,Gold,USA,United States,Lindy REMIGINO,1952 Helsinki,Athletics,Men's,100m
Summer,1952,Silver,JAM,"Jamaica, British",Herbert MCKENLEY,1952 Helsinki,Athletics,Men's,100m
Summer,1952,Bronze,GBR,Great Britain,Emmanuel McDONALD BAILEY,1952 Helsinki,Athletics,Men's,100m
Summer,1952,Gold,USA,United States,Andy STANFIELD,1952 Helsinki,Athletics,Men's,200m
Summer,1952,Silver,USA,United States,Thane BAKER,1952 Helsinki,Athletics,Men's,200m
Summer,1952,Bronze,USA,United States,James GATHERS,1952 Helsinki,Athletics,Men's,200m
Summer,1952,Gold,JAM,"Jamaica, British",George RHODEN,1952 Helsinki,Athletics,Men's,400m
Summer,1952,Silver,JAM,"Jamaica, British",Herbert MCKENLEY,1952 Helsinki,Athletics,Men's,400m
Summer,1952,Bronze,USA,United States,Ollie MATSON,1952 Helsinki,Athletics,Men's,400m
Summer,1952,Gold,USA,United States,Mal WHITFIELD,1952 Helsinki,Athletics,Men's,800m
Summer,1952,Silver,JAM,"Jamaica, British",Arthur WINT,1952 Helsinki,Athletics,Men's,800m
Summer,1952,Bronze,GER,Germany,Heinz ULZHEIMER,1952 Helsinki,Athletics,Men's,800m
Summer,1952,Gold,LUX,Luxembourg,Joseph BARTHEL,1952 Helsinki,Athletics,Men's,1500m
Summer,1952,Silver,USA,United States,Robert MCMILLEN,1952 Helsinki,Athletics,Men's,1500m
Summer,1952,Bronze,GER,Germany,Werner LUEG,1952 Helsinki,Athletics,Men's,1500m
Summer,1952,Gold,TCH,Czechoslovakia,Emil ZÁTOPEK,1952 Helsinki,Athletics,Men's,5000m
Summer,1952,Silver,FRA,France,Alain MIMOUN,1952 Helsinki,Athletics,Men's,5000m
Summer,1952,Bronze,GER,Germany,Herbert SCHADE,1952 Helsinki,Athletics,Men's,5000m
Summer,1952,Gold,TCH,Czechoslovakia,Emil ZÁTOPEK,1952 Helsinki,Athletics,Men's,10000m
Summer,1952,Silver,FRA,France,Alain MIMOUN,1952 Helsinki,Athletics,Men's,10000m
Summer,1952,Bronze,URS,USSR,Aleksandr ANUFRIYEV,1952 Helsinki,Athletics,Men's,10000m
Summer,1952,Gold,TCH,Czechoslovakia,Emil ZÁTOPEK,1952 Helsinki,Athletics,Men's,marathon
Summer,1952,Silver,ARG,Argentina,Reinaldo GORNO,1952 Helsinki,Athletics,Men's,marathon
Summer,1952,Bronze,SWE,Sweden,Gustaf JANSSON,1952 Helsinki,Athletics,Men's,marathon
Summer,1952,Gold,USA,United States,Harrison DILLARD,1952 Helsinki,Athletics,Men's,110m hurdles
Summer,1952,Silver,USA,United States,Jack DAVIS,1952 Helsinki,Athletics,Men's,110m hurdles
Summer,1952,Bronze,USA,United States,Arthur BARNARD,1952 Helsinki,Athletics,Men's,110m hurdles
Summer,1952,Gold,USA,United States,Charles Hewes Jr. MOORE,1952 Helsinki,Athletics,Men's,400m hurdles
Summer,1952,Silver,URS,USSR,Yuri LITUEV,1952 Helsinki,Athletics,Men's,400m hurdles
Summer,1952,Bronze,NZL,New Zealand,John Macfarlane HOLLAND,1952 Helsinki,Athletics,Men's,400m hurdles
Summer,1952,Gold,USA,United States,Horace ASHENFELTER,1952 Helsinki,Athletics,Men's,3000m steeplechase
Summer,1952,Silver,URS,USSR,Vladimir KAZANTSEV,1952 Helsinki,Athletics,Men's,3000m steeplechase
Summer,1952,Bronze,GBR,Great Britain,John DISLEY,1952 Helsinki,Athletics,Men's,3000m steeplechase
Summer,1952,Gold,USA,United States,"Lindy REMIGINO, Harrison DILLARD, Dean SMITH, Andy STANFIELD",1952 Helsinki,Athletics,Men's,4x100m relay
Summer,1952,Silver,URS,USSR,"Levan SANADZE, Boris TOKARYEV, Vladimir SUKHARYEV, Levan KALYAYEV",1952 Helsinki,Athletics,Men's,4x100m relay
Summer,1952,Bronze,HUN,Hungary,"György CSÁNYI, Géza VARASDI, László ZARÁNDI, Béla GOLDOVÁNYI",1952 Helsinki,Athletics,Men's,4x100m relay
Summer,1952,Gold,JAM,"Jamaica, British","George RHODEN, Herbert MCKENLEY, Leslie LAING, Arthur WINT",1952 Helsinki,Athletics,Men's,4x400m relay
Summer,1952,Silver,USA,United States,"Mal WHITFIELD, Ollie MATSON, Gerrard Eugene COLE, Charles Hewes Jr. MOORE",1952 Helsinki,Athletics,Men's,4x400m relay
Summer,1952,Bronze,GER,Germany,"Hans GEISTER, Günther STEINES, Karl-Friedrich HAAS, Heinz ULZHEIMER",1952 Helsinki,Athletics,Men's,4x400m relay
Summer,1952,Gold,SWE,Sweden,John MIKAELSSON,1952 Helsinki,Athletics,Men's,10000m walk
Summer,1952,Silver,SUI,Switzerland,Fritz SCHWAB,1952 Helsinki,Athletics,Men's,10000m walk
Summer,1952,Bronze,URS,USSR,Bruno JUNK,1952 Helsinki,Athletics,Men's,10000m walk
Summer,1952,Gold,ITA,Italy,Giuseppe DORDONI,1952 Helsinki,Athletics,Men's,50km walk
Summer,1952,Silver,TCH,Czechoslovakia,Josef DOLEZAL,1952 Helsinki,Athletics,Men's,50km walk
Summer,1952,Bronze,HUN,Hungary,Antal RÓKA,1952 Helsinki,Athletics,Men's,50km walk
Summer,1952,Gold,USA,United States,Jerome BIFFLE,1952 Helsinki,Athletics,Men's,long jump
Summer,1952,Silver,USA,United States,Meredith GOURDINE,1952 Helsinki,Athletics,Men's,long jump
Summer,1952,Bronze,HUN,Hungary,Ã–dÃn FÃ–LDESSY,1952 Helsinki,Athletics,Men's,long jump
Summer,1952,Gold,BRA,Brazil,Adhemar DA SILVA,1952 Helsinki,Athletics,Men's,triple jump
Summer,1952,Silver,URS,USSR,Leonid SHCHERBAKOV,1952 Helsinki,Athletics,Men's,triple jump
Summer,1952,Bronze,VEN,Venezuela,Arnoldo DEVONISH,1952 Helsinki,Athletics,Men's,triple jump
Summer,1952,Gold,USA,United States,Walt DAVIS,1952 Helsinki,Athletics,Men's,high jump
Summer,1952,Silver,USA,United States,Kenneth WIESNER,1952 Helsinki,Athletics,Men's,high jump
Summer,1952,Bronze,BRA,Brazil,Jose TELLES DA CONCEICAO,1952 Helsinki,Athletics,Men's,high jump
Summer,1952,Gold,USA,United States,Bob RICHARDS,1952 Helsinki,Athletics,Men's,pole vault
Summer,1952,Silver,USA,United States,Don LAZ,1952 Helsinki,Athletics,Men's,pole vault
Summer,1952,Bronze,SWE,Sweden,Ragnar LUNDBERG,1952 Helsinki,Athletics,Men's,pole vault
Summer,1952,Gold,USA,United States,Parry O'BRIEN,1952 Helsinki,Athletics,Men's,shot put
Summer,1952,Silver,USA,United States,Darrow Clarence HOOPER,1952 Helsinki,Athletics,Men's,shot put
Summer,1952,Bronze,USA,United States,James FUCHS,1952 Helsinki,Athletics,Men's,shot put
Summer,1952,Gold,USA,United States,Sim INESS,1952 Helsinki,Athletics,Men's,discus throw
Summer,1952,Silver,ITA,Italy,Adolfo CONSOLINI,1952 Helsinki,Athletics,Men's,discus throw
Summer,1952,Bronze,USA,United States,James DILLION,1952 Helsinki,Athletics,Men's,discus throw
Summer,1952,Gold,HUN,Hungary,József CSERMÁK,1952 Helsinki,Athletics,Men's,hammer throw
Summer,1952,Silver,GER,Germany,Karl STORCH,1952 Helsinki,Athletics,Men's,hammer throw
Summer,1952,Bronze,HUN,Hungary,Imre NÉMETH,1952 Helsinki,Athletics,Men's,hammer throw
Summer,1952,Gold,USA,United States,Cy YOUNG,1952 Helsinki,Athletics,Men's,javelin throw
Summer,1952,Silver,USA,United States,William Preston MILLER,1952 Helsinki,Athletics,Men's,javelin throw
Summer,1952,Bronze,FIN,Finland,Toivo HYYTIÄINEN,1952 Helsinki,Athletics,Men's,javelin throw
Summer,1952,Gold,USA,United States,Bob MATHIAS,1952 Helsinki,Athletics,Men's,decathlon
Summer,1952,Silver,USA,United States,Milton Gray CAMPBELL,1952 Helsinki,Athletics,Men's,decathlon
Summer,1952,Bronze,USA,United States,Floyd SIMMONS,1952 Helsinki,Athletics,Men's,decathlon
Summer,1952,Gold,AUS,Australia,Marjorie JACKSON,1952 Helsinki,Athletics,Women's,100m
Summer,1952,Silver,RSA,South Africa,Daphne HASENJAGER,1952 Helsinki,Athletics,Women's,100m
Summer,1952,Bronze,AUS,Australia,Shirley STRICKLAND,1952 Helsinki,Athletics,Women's,100m
Summer,1952,Gold,AUS,Australia,Marjorie JACKSON,1952 Helsinki,Athletics,Women's,200m
Summer,1952,Silver,NED,Netherlands,Bertha BROUWER,1952 Helsinki,Athletics,Women's,200m
Summer,1952,Bronze,URS,USSR,Nadezhda KHNYKINA,1952 Helsinki,Athletics,Women's,200m
Summer,1952,Gold,AUS,Australia,Shirley STRICKLAND,1952 Helsinki,Athletics,Women's,80m hurdles
Summer,1952,Silver,URS,USSR,Mariya GOLUBNICHAYA,1952 Helsinki,Athletics,Women's,80m hurdles
Summer,1952,Bronze,GER,Germany,Maria SANDER,1952 Helsinki,Athletics,Women's,80m hurdles
Summer,1952,Gold,USA,United States,"Janet MOREAU, Mae FAGGS, Barbara JONES, Catherine HARDY",1952 Helsinki,Athletics,Women's,4x100m relay
Summer,1952,Silver,GER,Germany,"Maria SANDER, Helga KLEIN, Marga PETERSEN, Ursula KNAB",1952 Helsinki,Athletics,Women's,4x100m relay
Summer,1952,Bronze,GBR,Great Britain,"Jean DESFORGES, Sylvia CHEESEMAN, Heather ARMITAGE, June FOULDS",1952 Helsinki,Athletics,Women's,4x100m relay
Summer,1952,Gold,NZL,New Zealand,Yvette WILLIAMS,1952 Helsinki,Athletics,Women's,long jump
Summer,1952,Silver,URS,USSR,Aleksandra CHUDINA,1952 Helsinki,Athletics,Women's,long jump
Summer,1952,Bronze,GBR,Great Britain,Shirley CAWLEY,1952 Helsinki,Athletics,Women's,long jump
Summer,1952,Gold,RSA,South Africa,Esther BRAND,1952 Helsinki,Athletics,Women's,high jump
Summer,1952,Silver,GBR,Great Britain,Sheila LERWILL,1952 Helsinki,Athletics,Women's,high jump
Summer,1952,Bronze,URS,USSR,Aleksandra CHUDINA,1952 Helsinki,Athletics,Women's,high jump
Summer,1952,Gold,URS,USSR,Galina ZYBINA,1952 Helsinki,Athletics,Women's,shot put
Summer,1952,Silver,GER,Germany,Marianne WERNER,1952 Helsinki,Athletics,Women's,shot put
Summer,1952,Bronze,URS,USSR,Klavdiya TOCHENOVA,1952 Helsinki,Athletics,Women's,shot put
Summer,1952,Gold,URS,USSR,Nina ROMASHKOVA,1952 Helsinki,Athletics,Women's,discus throw
Summer,1952,Silver,URS,USSR,Yelizaveta BAGRYANTSEVA,1952 Helsinki,Athletics,Women's,discus throw
Summer,1952,Bronze,URS,USSR,Nina DUMBADZE,1952 Helsinki,Athletics,Women's,discus throw
Summer,1952,Gold,TCH,Czechoslovakia,Dana INGROVA-ZATOPKOVA,1952 Helsinki,Athletics,Women's,javelin throw
Summer,1952,Silver,URS,USSR,Aleksandra CHUDINA,1952 Helsinki,Athletics,Women's,javelin throw
Summer,1952,Bronze,URS,USSR,Yelena GORCHAKOVA,1952 Helsinki,Athletics,Women's,javelin throw
